PARAM_G,PARAM_D,PARAM_L,PARAM_P,PARAM_S,CORRECT,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_2.keys,key_resp_2.rt,key_resp_trial.keys,key_resp_trial.corr,key_resp_trial.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,space,7.76744201099973,,,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,0,0,0,5,,,z,1,0.7007409870002448,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,0,1,1,11,,,z,1,0.892475783000009,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,0,2,2,6,,,z,0,0.8944684139996752,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,0,3,3,4,,,m,1,0.6659451690002243,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,0,4,4,0,,,z,1,0.7507446609997714,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,0,5,5,10,,,m,1,1.1835211120005624,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,0,6,6,3,,,m,1,0.7671123670006637,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,0,7,7,7,,,z,1,0.6851301819997389,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,0,8,8,8,,,m,1,0.8170014400002401,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,0,9,9,2,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,0,10,10,1,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,0,11,11,9,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,1,0,12,7,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,1,1,13,3,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,1,2,14,2,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,1,3,15,4,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,1,4,16,0,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,1,5,17,9,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,1,6,18,5,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,1,7,19,8,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,1,8,20,11,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,1,9,21,1,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,1,10,22,10,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,1,11,23,6,,,None,0,,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,2,0,24,5,,,z,1,0.8922635140006605,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,2,1,25,3,,,m,1,0.8059538909992625,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,2,2,26,4,,,m,1,0.783235770999454,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,2,3,27,2,,,m,1,0.7154636730001585,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,2,4,28,8,,,m,1,0.660293527000249,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,2,5,29,9,,,z,1,0.7473827630001324,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,2,6,30,10,,,m,1,0.7005004049997297,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,2,7,31,1,,,z,1,1.060396452000532,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,2,8,32,7,,,z,1,0.6654062409998005,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,2,9,33,11,,,z,1,0.6678810599996723,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,2,10,34,0,,,z,1,0.7456953310002064,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,2,11,35,6,,,m,1,0.7182129380007609,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,3,0,36,8,,,m,1,0.6801453859998219,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,3,1,37,0,,,z,1,0.8894110339997496,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,3,2,38,1,,,z,1,1.1503905669997039,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,3,3,39,5,,,z,1,0.9504345260002083,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,3,4,40,6,,,m,1,0.7854758970006515,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,3,5,41,10,,,m,1,0.9725414920003459,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,3,6,42,9,,,z,1,0.9350275270007842,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,3,7,43,11,,,z,1,0.7157847919997948,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,3,8,44,7,,,z,1,0.6457271019999098,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,3,9,45,3,,,m,1,0.7528997720000916,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,3,10,46,4,,,m,1,0.7987220420000085,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,3,11,47,2,,,m,1,0.6613867260002735,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,4,0,48,8,,,m,1,0.6197781319997375,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,4,1,49,0,,,z,1,0.78357962499922,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,4,2,50,6,,,m,1,0.8045977020001374,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,4,3,51,10,,,m,1,0.5502458709997882,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,4,4,52,5,,,z,1,0.6834504449998349,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,4,5,53,9,,,z,1,0.6408880810004121,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,4,6,54,2,,,m,1,0.7356608670006608,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,4,7,55,3,,,m,1,0.69651701300063,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,4,8,56,4,,,m,1,0.8978016909995858,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,4,9,57,7,,,z,1,1.0245112779994088,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,4,10,58,11,,,z,1,0.7842369950003558,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,4,11,59,1,,,z,1,0.9335801450006329,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,5,0,60,8,,,m,1,0.7523733850002827,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,5,1,61,7,,,z,1,0.7354297409992796,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,5,2,62,10,,,m,1,0.6070788540000649,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,5,3,63,6,,,m,1,0.7503466689995548,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,O,m,5,4,64,3,,,m,1,0.6050042280003254,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,5,5,65,11,,,z,1,0.6693963610005085,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,F,m,5,6,66,4,,,m,1,0.8170017079992249,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,5,7,67,9,,,z,1,0.6908850170002552,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
F,F,F,F,E,z,5,8,68,0,,,z,1,0.7843332230004307,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,5,9,69,5,,,z,1,0.668827861999489,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,D,z,5,10,70,1,,,z,1,0.99913199599996,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,F,m,5,11,71,2,,,m,1,0.7300982200004,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,6,0,72,9,,,z,1,0.7831887180000194,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
D,D,D,D,D,z,6,1,73,7,,,z,1,0.9847180910001043,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
E,E,E,E,E,z,6,2,74,5,,,z,1,0.742548385000191,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
O,O,O,O,O,m,6,3,75,10,,,m,1,0.7563806600001044,CV_32,001,2019_lis_05_1032,eksperyment_flankery,3.0.0+brain1,60.00706715212564,
